Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Svilar,P,Roma,18,75,5.22,177.5,9.861
Martinez Jo.,P,Inter,17,63,6.72,228.5,13.441
Carnesecchi,P,Atalanta,16,52,5.3,180.2,11.262
Butez,P,Como,16,54,6.67,226.8,14.175
Vicario,P,Juventus,16,58,6.38,216.9,13.556
Maignan,P,Milan,15,50,5.07,172.4,11.493
De Gea,P,Fiorentina,12,40,4.34,147.6,12.3
Meret,P,Napoli,11,53,8.21,279.1,25.373
Skorupski,P,Bologna,10,36,5.83,198.2,19.82
Caprile,P,Cagliari,10,28,7.46,253.6,25.36
Mandas,P,Lazio,10,32,5.01,170.3,17.03
Di Gregorio,P,Juventus,9,10,4.51,153.3,17.033
Falcone,P,Lecce,9,30,5.45,185.3,20.589
Okoye,P,Udinese,9,29,6.66,226.4,25.156
Bijlow,P,Genoa,8,17,4.73,160.8,20.1
Daffara,P,Parma,7,10,7.21,245.1,35.014
Muric,P,Sassuolo,7,15,4.69,159.5,22.786
Perin,P,Juventus,6,5,6.46,219.6,36.6
Stankovic F.,P,Venezia,6,12,6.34,215.6,35.933
Palmisani,P,Frosinone,5,12,5.13,174.4,34.88
Thiam,P,Monza,5,11,8.03,273.0,54.6
Milinkovic-Savic V.,P,Napoli,5,7,7.78,264.5,52.9
Desplanches,P,Frosinone,2,3,5.42,184.3,92.15
Provedel,P,Inter,2,5,4.47,152.0,76.0
Sportiello,P,Atalanta,1,1,9.67,328.8,328.8
Happonen,P,Bologna,1,1,6.67,226.8,226.8
Pessina Mas.,P,Bologna,1,1,4.85,164.9,164.9
Sherri,P,Cagliari,1,1,6.93,235.6,235.6
Tornqvist,P,Como,1,1,9.34,317.6,317.6
Vigorito,P,Como,1,1,5.69,193.5,193.5
Christensen O.,P,Fiorentina,1,1,7.12,242.1,242.1
Lezzerini,P,Fiorentina,1,1,5.64,191.8,191.8
Lolic,P,Frosinone,1,1,4.9,166.6,166.6
Sommariva,P,Genoa,1,1,4.84,164.6,164.6
Stolz,P,Genoa,1,1,6.1,207.4,207.4
Di Gennaro,P,Inter,1,1,6.69,227.5,227.5
Pinsoglio,P,Juventus,1,1,7.04,239.4,239.4
Motta,P,Lazio,1,1,8.67,294.8,294.8
Renzetti,P,Lazio,1,1,4.6,156.4,156.4
Terracciano,P,Milan,1,1,4.93,167.6,167.6
Torriani,P,Milan,1,1,6.49,220.7,220.7
Pizzignacco,P,Monza,1,1,5.99,203.7,203.7
Strajnar,P,Monza,1,1,7.53,256.0,256.0
Contini,P,Napoli,1,1,6.29,213.9,213.9
Corvi,P,Parma,1,10,5.86,199.2,199.2
De Marzi,P,Roma,1,1,6.84,232.6,232.6
Gollini,P,Roma,1,1,6.88,233.9,233.9
Russo A.,P,Sassuolo,1,1,5.5,187.0,187.0
Turati,P,Sassuolo,1,1,7.39,251.3,251.3
Mascardi,P,Torino,1,13,9.73,330.8,330.8
Paleari,P,Torino,1,1,6.49,220.7,220.7
Siviero,P,Torino,1,1,5.12,174.1,174.1
Padelli,P,Udinese,1,1,6.03,205.0,205.0
Piana,P,Udinese,1,1,9.51,323.3,323.3
Grandi,P,Venezia,1,1,4.72,160.5,160.5
Pozzi,P,Venezia,1,1,7.13,242.4,242.4
Vismara,P,Atalanta,1,1,7.6,258.4,258.4
Satalino,P,Sassuolo,1,1,4.16,141.4,141.4
Penev,P,Lecce,1,1,4.65,158.1,158.1
Pisseri,P,Frosinone,1,1,6.53,222.0,222.0
Radunovic,P,Cagliari,1,1,7.74,263.2,263.2
Montipò,P,Venezia,1,1,4.94,168.0,168.0
Bleve,P,Lecce,1,1,6.25,212.5,212.5
Dimarco,D,Inter,31,253,9.92,337.3,10.881
Molina N.,D,Roma,18,80,6.57,223.4,12.411
Wesley,D,Roma,17,82,5.02,170.7,10.041
Akanji,D,Inter,16,51,8.03,273.0,17.062
