Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito,Affidabilita,Stato_titolarita,Prossimo_avversario,Indisponibile,Motivo_indisponibilita,Fonte_dato
Mascardi,P,Torino,1,5,8.31,282.4,282.4,Bassa,Titolare,Udinese,False,,Understat (stima da xG)
Abankwah,D,Udinese,2,10,10.92,371.4,185.7,Media,Titolare,Torino,False,,Understat (stima da xG)
Pinsoglio,P,Juventus,1,1,5.25,178.5,178.5,Bassa,Ballottaggio,Cagliari,False,,Understat (stima da xG)
Tornqvist,P,Monza,1,10,5.12,174.0,174.0,Alta,Titolare,Lazio,False,,FPEDIA (fantamedia reale)
Christensen O.,P,Fiorentina,1,1,4.88,165.8,165.8,Alta,Ballottaggio,Genoa,False,,FPEDIA (fantamedia reale)
Happonen,P,Bologna,1,1,4.7,159.7,159.7,Bassa,Ballottaggio,Lecce,False,,Understat (stima da xG)
Lezzerini,P,Fiorentina,1,1,4.5,153.0,153.0,Alta,Ballottaggio,Genoa,False,,FPEDIA (fantamedia reale)
Alhassane,D,Bologna,2,6,8.09,274.9,137.45,Alta,Titolare,Lecce,False,,FPEDIA (fantamedia reale)
Ebosse,D,Udinese,3,5,10.84,368.5,122.833,Media,Titolare,Torino,False,,Understat (stima da xG)
Ndaba,D,Lecce,2,5,7.22,245.4,122.7,Bassa,Titolare,Bologna,False,,Understat (stima da xG)
Franjic,D,Venezia,3,7,10.77,366.2,122.067,Bassa,Titolare,Atalanta,False,,Understat (stima da xG)
Odenthal,D,Sassuolo,3,8,10.05,341.6,113.867,Alta,Titolare,AC Milan,False,,FPEDIA (fantamedia reale)
Sagrado,D,Venezia,2,4,6.69,227.5,113.75,Media,Ballottaggio,Atalanta,False,,Understat (stima da xG)
Ilic,C,Lecce,1,10,3.33,113.2,113.2,Media,Ballottaggio,Bologna,False,,Understat (stima da xG)
Montipò,P,Venezia,1,1,3.3,112.3,112.3,Bassa,Riserva,Atalanta,False,,Stima generica (nessun dato reale trovato)
Piana,P,Udinese,1,1,3.3,112.3,112.3,Bassa,Riserva,Torino,False,,Stima generica (nessun dato reale trovato)
Di Gennaro,P,Inter,1,1,3.3,112.3,112.3,Bassa,Riserva,Parma Calcio 1913,False,,Stima generica (nessun dato reale trovato)
Pozzi,P,Venezia,1,1,3.3,112.3,112.3,Bassa,Riserva,Atalanta,False,,Stima generica (nessun dato reale trovato)
Grandi,P,Venezia,1,1,3.3,112.3,112.3,Bassa,Riserva,Atalanta,False,,Stima generica (nessun dato reale trovato)
Mrozek,P,Udinese,1,1,3.3,112.3,112.3,Bassa,Riserva,Torino,False,,Stima generica (nessun dato reale trovato)
Grabara,P,Juventus,1,1,3.3,112.3,112.3,Bassa,Riserva,Cagliari,False,,Stima generica (nessun dato reale trovato)
Padelli,P,Udinese,1,1,3.3,112.3,112.3,Bassa,Riserva,Torino,False,,Stima generica (nessun dato reale trovato)
Helland,D,Bologna,3,12,9.63,327.6,109.2,Media,Titolare,Lecce,False,,Understat (stima da xG)
Gomes,D,Venezia,1,1,3.19,108.5,108.5,Bassa,Riserva,Atalanta,False,,Stima generica (nessun dato reale trovato)
Mazzocchi,D,Venezia,1,10,3.19,108.5,108.5,Bassa,Riserva,Atalanta,False,,Stima generica (nessun dato reale trovato)
Rugani,D,Juventus,1,3,3.19,108.5,108.5,Bassa,Riserva,Cagliari,False,,Stima generica (nessun dato reale trovato)
Cabal,D,Juventus,1,4,3.19,108.5,108.5,Bassa,Riserva,Cagliari,False,,Stima generica (nessun dato reale trovato)
Radunovic,P,Cagliari,1,1,3.19,108.3,108.3,Bassa,Ballottaggio,Juventus,False,,Understat (stima da xG)
De Silvestri,D,Bologna,1,4,3.04,103.3,103.3,Alta,Ballottaggio,Lecce,False,,FPEDIA (fantamedia reale)
Dembelè A.,D,Lecce,1,2,2.93,99.6,99.6,Alta,Ballottaggio,Bologna,False,,FPEDIA (fantamedia reale)
Hainaut,D,Venezia,4,12,11.47,390.0,97.5,Media,Titolare,Atalanta,False,,Understat (stima da xG)
Ranieri L.,D,Fiorentina,3,10,8.55,290.6,96.867,Alta,Titolare,Genoa,False,,FPEDIA (fantamedia reale)
Kabasele,D,Udinese,4,12,11.12,377.9,94.475,Media,Titolare,Torino,False,,Understat (stima da xG)
Cinquegrano,D,Sassuolo,2,4,5.55,188.7,94.35,Alta,Titolare,AC Milan,False,,FPEDIA (fantamedia reale)
Joao Mario,D,Fiorentina,3,12,8.26,280.7,93.567,Media,Titolare,Genoa,False,,Understat (stima da xG)
Belahyane,C,Lazio,2,3,5.39,183.4,91.7,Alta,Titolare,Monza,False,,FPEDIA (fantamedia reale)
Lulli,D,Roma,2,10,5.29,180.0,90.0,Media,Titolare,Como,False,,Understat (stima da xG)
Siviero,P,Torino,1,1,2.61,88.8,88.8,Bassa,Riserva,Udinese,False,,Stima generica (nessun dato reale trovato)
Paleari,P,Torino,1,1,2.61,88.8,88.8,Bassa,Riserva,Udinese,False,,Stima generica (nessun dato reale trovato)
Penev,P,Lecce,1,1,2.58,87.7,87.7,Bassa,Riserva,Bologna,False,,Stima generica (nessun dato reale trovato)
Bleve,P,Lecce,1,1,2.58,87.7,87.7,Bassa,Riserva,Bologna,False,,Stima generica (nessun dato reale trovato)
Schingtienne,D,Venezia,3,10,7.67,260.8,86.933,Alta,Titolare,Atalanta,False,,FPEDIA (fantamedia reale)
Ndiaye,D,Parma,2,8,5.02,170.6,85.3,Bassa,Titolare,Inter,False,,Understat (stima da xG)
Sommariva,P,Genoa,1,1,2.42,82.2,82.2,Bassa,Riserva,Fiorentina,False,,Stima generica (nessun dato reale trovato)
Stolz,P,Genoa,1,1,2.42,82.2,82.2,Bassa,Riserva,Fiorentina,False,,Stima generica (nessun dato reale trovato)
Sabelli,D,Genoa,2,5,4.82,163.8,81.9,Bassa,Ballottaggio,Fiorentina,False,,Understat (stima da xG)
Kouadio,D,Monza,3,14,7.04,239.4,79.8,Media,Titolare,Lazio,False,,Understat (stima da xG)
Marin R.,D,Napoli,2,8,4.66,158.5,79.25,Alta,Titolare,Frosinone,False,,FPEDIA (fantamedia reale)
Lucchesi,D,Monza,3,11,6.9,234.5,78.167,Media,Titolare,Lazio,False,,Understat (stima da xG)
Anjorin,C,Torino,1,4,2.29,77.8,77.8,Bassa,Riserva,Udinese,False,,Stima generica (nessun dato reale trovato)
Palma,D,Udinese,3,11,6.86,233.2,77.733,Bassa,Ballottaggio,Torino,False,,Understat (stima da xG)
